Freq,Input,Output (word/lemma),"human
checked",Alt,Ordered,Auto ,conflict,L pinky,L ring,L middle,L index,LT1,LT2,RT1,RT2,R index,R middle,R ring ,R pinky,1st,2nd,3rd,,,,,,,,,,,,,,,,,
118,u+o+e+h+s,house,FALSE,,,uoehs,0,,u,o,e,,,h,,,,s,,h,o,u,,u,o,e,h,s,,,,+,,,,,,Keep,house
119,r+d+a+l,related,FALSE,,,rdal,0,,,,r,,,d,,a,l,,,r,e,l,,r,d,a,l,,,,,+,,,,,,Keep,related
120,u+i+e+c+t+s,security,FALSE,,,uiects,0,,u,i,e,c,,,,t,,s,,s,e,c,,u,i,e,c,t,s,,,+,,,,,,Keep,security
121,u+o+c+t+n+y,county,FALSE,,,uoctny,1,,u,o,,c,,,,t,n,y,,c,o,u,,u,o,c,t,n,y,,,+,,,,,,Keep,county
122,i+e+m+a+n,american,FALSE,,,ieman,0,,,i,e,m,,,,a,n,,,a,m,e,,i,e,m,a,n,,,,+,,,,,,Keep,american
123,o+p+t,photo,FALSE,,,opt,0,,,o,,,,p,,t,,,,p,h,o,,o,p,t,,,,,,+,,,,,,Keep,photo
124,e+m+b+s,members,FALSE,,,embs,0,,,,e,m,,,b,,,s,,m,e,m,,e,m,b,s,,,,,+,,,,,,Keep,members
125,o+r+w+p,power,FALSE,,,orwp,0,,,o,r,,w,p,,,,,,p,o,w,,o,r,w,p,,,,,+,,,,,,Keep,power
126,i+e+w+h+l,while,FALSE,,,iewhl,0,,,i,e,,w,h,,,l,,,w,h,i,,i,e,w,h,l,,,,+,,,,,,Keep,while
127,o+e+k+w+t+n,network,FALSE,,,oekwtn,0,,,o,e,k,w,,,t,n,,,n,e,t,,o,e,k,w,t,n,,,+,,,,,,Keep,network
128,u+o+r+c+p+t,computer,FALSE,,,uorcpt,1,,u,o,r,c,,p,,t,,,,c,o,m,,u,o,r,c,p,t,,,+,,,,,,Keep,computer
130,r+h+t,three,FALSE,,,rht,0,,,,r,,,h,,t,,,,t,h,r,,r,h,t,,,,,,+,,,,,,Keep,three
131,o+t+l,total,FALSE,,,otl,0,,,o,,,,,,t,l,,,t,o,t,,o,t,l,,,,,,+,,,,,,Keep,total
132,e+c+p+a+l,place,FALSE,,,ecpal,0,,,,e,c,,p,,a,l,,,p,l,a,,e,c,p,a,l,,,,+,,,,,,Keep,place
